iter	Passed	Remaining
0	0	71
1	1	65
2	1	61
3	2	58
4	3	57
5	3	56
6	4	55
7	4	55
8	5	54
9	5	53
10	6	52
11	7	51
12	7	51
13	8	50
14	8	49
15	9	48
16	9	48
17	10	47
18	11	47
19	11	46
20	12	45
21	12	45
22	13	44
23	13	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	30	26
54	31	25
55	31	25
56	32	24
57	33	23
58	33	23
59	34	22
60	34	22
61	35	21
62	36	21
63	36	20
64	37	20
65	37	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	50	7
87	50	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	54	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
